station,stationCode,observedDate,metric,value,unit,provider,resolution,aggregation,quality,sourceFile
Novo Selo,novo-selo,2020-01-01,water_level,398.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-01-02,water_level,300.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-01-03,water_level,317.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-01-04,water_level,306.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-01-05,water_level,299.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-01-06,water_level,251.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-01-07,water_level,223.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-01-08,water_level,210.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-01-09,water_level,193.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-01-10,water_level,181.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-01-11,water_level,162.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-01-12,water_level,155.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-01-13,water_level,141.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-01-14,water_level,142.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-01-15,water_level,134.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-01-16,water_level,130.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-01-17,water_level,122.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-01-18,water_level,125.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-01-19,water_level,110.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-01-20,water_level,111.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-01-21,water_level,109.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-01-22,water_level,102.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-01-23,water_level,93.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-01-24,water_level,95.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-01-25,water_level,91.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-01-26,water_level,80.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-01-27,water_level,75.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-01-28,water_level,80.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-01-29,water_level,79.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-01-30,water_level,67.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-01-31,water_level,69.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-02-01,water_level,67.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-02-02,water_level,74.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-02-03,water_level,77.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-02-04,water_level,101.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
Novo Selo,novo-selo,2020-02-05,water_level,108.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2020.pdf
