station,stationCode,observedDate,metric,value,unit,provider,resolution,aggregation,quality,sourceFile
Novo Selo,novo-selo,2021-01-01,water_discharge,5051.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2021.pdf
Novo Selo,novo-selo,2021-01-02,water_discharge,5001.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2021.pdf
Novo Selo,novo-selo,2021-01-03,water_discharge,5655.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2021.pdf
Novo Selo,novo-selo,2021-01-04,water_discharge,6438.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2021.pdf
Novo Selo,novo-selo,2021-01-05,water_discharge,6932.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2021.pdf
Novo Selo,novo-selo,2021-01-06,water_discharge,6564.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2021.pdf
Novo Selo,novo-selo,2021-01-07,water_discharge,7061.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2021.pdf
Novo Selo,novo-selo,2021-01-08,water_discharge,7514.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2021.pdf
Novo Selo,novo-selo,2021-01-09,water_discharge,7162.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2021.pdf
Novo Selo,novo-selo,2021-01-10,water_discharge,7425.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2021.pdf
Novo Selo,novo-selo,2021-01-11,water_discharge,7979.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2021.pdf
Novo Selo,novo-selo,2021-01-12,water_discharge,7678.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2021.pdf
Novo Selo,novo-selo,2021-01-13,water_discharge,7529.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2021.pdf
Novo Selo,novo-selo,2021-01-14,water_discharge,7032.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2021.pdf
Novo Selo,novo-selo,2021-01-15,water_discharge,7470.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2021.pdf
Novo Selo,novo-selo,2021-01-16,water_discharge,7293.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2021.pdf
Novo Selo,novo-selo,2021-01-17,water_discharge,6761.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2021.pdf
Novo Selo,novo-selo,2021-01-18,water_discharge,6342.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2021.pdf
Novo Selo,novo-selo,2021-01-19,water_discharge,5827.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2021.pdf
Novo Selo,novo-selo,2021-01-20,water_discharge,5343.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2021.pdf
Novo Selo,novo-selo,2021-01-21,water_discharge,5152.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2021.pdf
Novo Selo,novo-selo,2021-01-22,water_discharge,5178.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2021.pdf
